title,year,authors,journal,cited_by,scholar_link,pdf
The fertility of a concept: A bibliometric review of human flourishing,2022,"M Cebral-Loureda, E Tamés-Muñoz, A Hernández-Baqueiro","International journal of environmental research and public health 19 (5), 2586, 2022",39,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:7PzlFSSx8tAC,
"Voces autorizadas en Twitter durante la pandemia de COVID-19: actores, léxico y sentimientos como marco interpretativo para usuarios ordinarios.",2020,"GE Sued Palmeiro, M Cebral-Loureda","Revista de Comunicación y Salud 10 (2), 2020",29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:QIV2ME_5wuYC,
The beginnings of the COVID19 pandemic on Twitter. Computational Analysis of Public Conversation in Spanish Language,2021,"M Cebral-Loureda, GE Sued-Palmeiro","Cuadernos Info, 1-25, 2021",23,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:aqlVkmm33-oC,
Real-time EEG-based emotion recognition for neurohumanities: perspectives from principal component analysis and tree-based algorithms,2024,"MA Blanco-Ríos, MO Candela-Leal, C Orozco-Romo, P Remis-Serna, ...","Frontiers in Human Neuroscience 18, 1319574, 2024",19,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:k_IJM867U9cC,
"One hundred years of neurosciences in the arts and humanities, a bibliometric review",2023,"M Cebral-Loureda, J Sanabria-Z, MA Ramírez-Moreno, ...","Philosophy, Ethics, and Humanities in Medicine 18 (1), 17, 2023",11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:_Qo2XoVZTnwC,
A text mining analysis of human flourishing on Twitter,2023,"M Cebral-Loureda, A Hernández-Baqueiro, E Tamés-Muñoz","Scientific reports 13 (1), 3403, 2023",10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:-f6ydRqryjwC,
Augmented reality in educational innovation: a literature mapping review,2024,"D Velarde-Camaqui, J Sanabria-Z, MS Ramírez-Montoya, ...","International Conference on Communication and Applied Technologies, 49-58, 2024",8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:bEWYMUwI8FkC,
Using AI for educational research in multimodal learning analytics,2023,"LF Morán-Mirabal, J Alvarado-Uribe, HG Ceballos, M Cebral-Loureda, ...","What AI Can Do? Strengths and Limitations of Artificial Intelligence 1, 155176, 2023",5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:2P1L_qKh6hAC,
Real-time EEG-based Emotion Recognition Model using Principal Component Analysis and Tree-based Models for Neurohumanities,2024,"MA Blanco-Rios, MO Candela-Leal, C Orozco-Romo, P Remis-Serna, ...","arXiv preprint arXiv:2401.15743, 2024",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:4JMBOYKVnBMC,
What AI Can Do: Strengths and Limitations of Artificial Intelligence,2023,"M Cebral-Loureda, EG Rincón-Flores, G Sanchez-Ante","CRC Press, 2023",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:HDshCWvjkbEC,
Neural deep learning models for learning analytics in a digital humanities laboratory,2021,"M Cebral-Loureda, C Torres-Huitzil","2021 Machine Learning-Driven Digital Technologies for Educational Innovation …, 2021",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:L8Ckcad2t8MC,
Is Big Data the new capture machine? Correlations between Data Mining and Gilles Deleuze philosophy,2019,M Cebral Loureda,"Automata’s Inner Movie: Science and Philosophy of Mind, 2019",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:2osOgNQ5qMEC,
La revolución cibernética desde la filosofía de Gilles Deleuze: una revisión crítica de las herramientas de minería de datos y Big Data,2019,M Cebral Loureda,"Universidade de Santiago de Compostela, 2019",4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:ufrVoPGSRksC,
Love as a concept in academic research: A bibliometric review,2024,"M Cebral-Loureda, MT Lee, A Hernández-Baqueiro, T Lomas, ...","Methods in Psychology 11, 100153, 2024",3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Maj9ubYAAAAJ&citation_for_view=Maj9ubYAAAAJ:YFjsv_pBGBYC,
